จังหวัด, PM2.5, PM2.5 เฉลี่ย24ชั่วโมงต่อเนื่อง, เวลา
ปัตตานี,16.216142923688693,17.590018413220132,2026-01-17 02:00:00
มหาสารคาม,82.65118664176353,57.929951005797925,2026-01-17 02:00:00
สมุทรสาคร,22.18628399561094,48.811668085183186,2026-01-17 02:00:00
ระยอง,25.119705668189287,44.73145776864754,2026-01-17 02:00:00
ระนอง,29.31404583974996,18.717223710756286,2026-01-17 02:00:00
สุพรรณบุรี,40.81476644468603,55.64661635905162,2026-01-17 02:00:00
สิงห์บุรี,74.94641051947212,69.239558627329,2026-01-17 02:00:00
ชัยภูมิ,57.25444623635135,51.45137457430331,2026-01-17 02:00:00
อุตรดิตถ์,52.789029922260745,47.181004841904894,2026-01-17 02:00:00
นราธิวาส,16.749199964478677,18.38379029565229,2026-01-17 02:00:00
แพร่,49.48626355373678,36.28062577827347,2026-01-17 02:00:00
ยโสธร,77.3107548631373,45.778458895957954,2026-01-17 02:00:00
ปราจีนบุรี,39.994212109200305,53.33823813803193,2026-01-17 02:00:00
อุทัยธานี,48.621807558517965,52.305452534249724,2026-01-17 02:00:00
เชียงใหม่,13.977355303889903,20.843669591775683,2026-01-17 02:00:00
ปทุมธานี,27.803712029270166,53.83192016970736,2026-01-17 02:00:00
ประจวบคีรีขันธ์,25.721448313173337,42.299335100196,2026-01-17 02:00:00
พังงา,19.5690201838696,18.489430933124424,2026-01-17 02:00:00
เพชรบูรณ์,56.84457820844171,51.98329407391784,2026-01-17 02:00:00
พะเยา,30.687886185786482,28.605445536838758,2026-01-17 02:00:00
ลพบุรี,58.72314797876201,60.54309748482177,2026-01-17 02:00:00
ชุมพร,30.934318051332742,18.03283019018,2026-01-17 02:00:00
นครราชสีมา,49.34721251903749,51.06395494781763,2026-01-17 02:00:00
พัทลุง,14.711148090568889,19.47009408605129,2026-01-17 02:00:00
ฉะเชิงเทรา,32.670940487775894,54.28998490420235,2026-01-17 02:00:00
ตาก,35.25846853987237,39.38429195238893,2026-01-17 02:00:00
นครนายก,37.17891760000697,45.533180525663674,2026-01-17 02:00:00
พิษณุโลก,61.5423410376149,52.93393246766212,2026-01-17 02:00:00
นนทบุรี,23.465060179928575,50.772416762504356,2026-01-17 02:00:00
สุโขทัย,39.06032592863025,44.174404614286495,2026-01-17 02:00:00
กรุงเทพมหานคร,21.07428932391694,51.653619088772395,2026-01-17 02:00:00
มุกดาหาร,68.59789160866757,44.52976956697673,2026-01-17 02:00:00
สุราษฎร์ธานี,23.079288246413004,19.19360420161264,2026-01-17 02:00:00
ราชบุรี,28.696032064286737,48.35698037152461,2026-01-17 02:00:00
ตราด,25.934942336487165,43.36890786221584,2026-01-17 02:00:00
บึงกาฬ,41.329049401098075,39.196402106583754,2026-01-17 02:00:00
นครพนม,70.66208771141102,43.57341479100779,2026-01-17 02:00:00
ร้อยเอ็ด,82.25829013076462,54.754624332119995,2026-01-17 02:00:00
นครศรีธรรมราช,17.136256369017673,18.2145248034192,2026-01-17 02:00:00
ขอนแก่น,73.03712738560876,54.56241544652756,2026-01-17 02:00:00
นครปฐม,37.1036615992311,52.77272409809527,2026-01-17 02:00:00
อุบลราชธานี,68.7828857309975,49.5063992883039,2026-01-17 02:00:00
ศรีสะเกษ,63.80079570630678,50.62845978586058,2026-01-17 02:00:00
สุรินทร์,64.26739735542576,56.17720862688906,2026-01-17 02:00:00
สระแก้ว,35.24176275605932,50.812163835289624,2026-01-17 02:00:00
หนองบัวลำภู,59.715354839429146,48.198157547649544,2026-01-17 02:00:00
อุดรธานี,66.09349852987037,54.664344860147594,2026-01-17 02:00:00
ชัยนาท,71.07880166774609,65.081487972688,2026-01-17 02:00:00
หนองคาย,56.07994428878786,62.62378777742338,2026-01-17 02:00:00
สระบุรี,57.83605998047652,59.25303697127344,2026-01-17 02:00:00
เชียงราย,16.506086878109016,22.431796848482254,2026-01-17 02:00:00
ตรัง,29.181756907588728,21.93036275195975,2026-01-17 02:00:00
อ่างทอง,58.52797435618829,65.65040358523444,2026-01-17 02:00:00
เพชรบุรี,23.839344113016526,45.107937270085785,2026-01-17 02:00:00
น่าน,46.584296242232774,36.317617023093,2026-01-17 02:00:00
ชลบุรี,32.687449211394295,51.045430646834994,2026-01-17 02:00:00
กาญจนบุรี,35.78395086168166,48.4368082282823,2026-01-17 02:00:00
สมุทรสงคราม,20.485465433642013,48.91750819052833,2026-01-17 02:00:00
จันทบุรี,27.481842930766465,44.675085907376406,2026-01-17 02:00:00
เลย,53.291104975938374,46.73597914507024,2026-01-17 02:00:00
ยะลา,27.552285448405296,20.599749256882742,2026-01-17 02:00:00
กระบี่,21.887532422801463,17.984334405536366,2026-01-17 02:00:00
สมุทรปราการ,19.66884577603188,50.513345366962064,2026-01-17 02:00:00
กาฬสินธุ์,80.98994314942445,56.73162495935079,2026-01-17 02:00:00
ภูเก็ต,16.424021251526213,20.04109247302573,2026-01-17 02:00:00
กำแพงเพชร,42.94781798041791,46.17534555028576,2026-01-17 02:00:00
สตูล,13.567902954926778,16.037315193761476,2026-01-17 02:00:00
สงขลา,12.75684020326944,17.82572480654167,2026-01-17 02:00:00
นครสวรรค์,54.986120613074725,55.10305978367244,2026-01-17 02:00:00
พิจิตร,59.2213526145935,52.402493591039324,2026-01-17 02:00:00
ลำพูน,27.481837955656363,29.934035990591074,2026-01-17 02:00:00
สกลนคร,59.402800713860834,45.55928971324381,2026-01-17 02:00:00
บุรีรัมย์,53.69486966202162,54.241265307971084,2026-01-17 02:00:00
พระนครศรีอยุธยา,44.517543198889115,61.387055749543485,2026-01-17 02:00:00
แม่ฮ่องสอน,11.59629440643138,19.927701778907128,2026-01-17 02:00:00
ลำปาง,31.66096152002917,30.918388407111365,2026-01-17 02:00:00
อำนาจเจริญ,74.42770485858593,43.55327169873525,2026-01-17 02:00:00
สระแก้ว,33.98924004413272,50.44478028674222,2026-01-17 03:00:00
สระบุรี,50.49052376267006,60.09254670961919,2026-01-17 03:00:00
ขอนแก่น,66.68633389075804,55.18874626804085,2026-01-17 03:00:00
ตรัง,33.642227896737324,21.77216476863208,2026-01-17 03:00:00
ราชบุรี,27.926500541847876,48.92354087794243,2026-01-17 03:00:00
ชัยภูมิ,52.581733704629386,51.77986857679369,2026-01-17 03:00:00
ปัตตานี,24.07422492722115,17.336997777674426,2026-01-17 03:00:00
นครนายก,34.14593413912202,45.18337789141177,2026-01-17 03:00:00
นนทบุรี,21.930736477710518,50.07496454722562,2026-01-17 03:00:00
ตราด,23.67663494276809,43.76580974463113,2026-01-17 03:00:00
สุราษฎร์ธานี,21.64146276774253,18.153674409984717,2026-01-17 03:00:00
อุบลราชธานี,60.49180217952094,50.210802109018594,2026-01-17 03:00:00
หนองบัวลำภู,55.00370525027102,49.39327589126583,2026-01-17 03:00:00
ตาก,33.218399400238305,39.12737976271598,2026-01-17 03:00:00
สมุทรสงคราม,22.239583464160592,48.61401382409258,2026-01-17 03:00:00
น่าน,36.85223217334231,36.5145693534298,2026-01-17 03:00:00
ยะลา,26.030833500061963,20.154226724354213,2026-01-17 03:00:00
สมุทรปราการ,18.462326667225913,49.86153062442904,2026-01-17 03:00:00
สตูล,17.676709503050414,16.10763945727888,2026-01-17 03:00:00
แม่ฮ่องสอน,11.608564214038674,18.377567966611085,2026-01-17 03:00:00
อำนาจเจริญ,65.22888510430681,44.82106858460597,2026-01-17 03:00:00
สุพรรณบุรี,33.10381374630368,55.231264512273974,2026-01-17 03:00:00
แพร่,43.03030875286509,37.48344252297605,2026-01-17 03:00:00
ปราจีนบุรี,36.06707139225225,52.78458459728239,2026-01-17 03:00:00
ชุมพร,26.84228383957413,17.70892897233297,2026-01-17 03:00:00
พะเยา,24.978901059461457,29.03226551788015,2026-01-17 03:00:00
นครราชสีมา,46.74026780345274,51.355107393993784,2026-01-17 03:00:00
ฉะเชิงเทรา,28.51649208784352,53.641885071344426,2026-01-17 03:00:00
พังงา,21.011183707717084,17.820446638386958,2026-01-17 03:00:00
ประจวบคีรีขันธ์,23.706243972833196,42.69341954928715,2026-01-17 03:00:00
เพชรบูรณ์,52.670330203410096,52.81029470005214,2026-01-17 03:00:00
เชียงใหม่,14.622264505611026,20.029646018238072,2026-01-17 03:00:00
อุทัยธานี,41.879622611555746,52.65559354541937,2026-01-17 03:00:00
ยโสธร,68.13077796834433,47.96030445105652,2026-01-17 03:00:00
อุตรดิตถ์,46.3569507507879,47.523843443734854,2026-01-17 03:00:00
ระนอง,25.725885849923568,17.7011099048098,2026-01-17 03:00:00
สิงห์บุรี,61.58673327284417,70.48452868029928,2026-01-17 03:00:00
ระยอง,23.314822134606402,45.07810236994401,2026-01-17 03:00:00
สมุทรสาคร,20.71999763729151,47.74533273314552,2026-01-17 03:00:00
มหาสารคาม,73.94032106919474,58.88943501897544,2026-01-17 03:00:00
ลำปาง,28.39345331921366,30.511792473719883,2026-01-17 03:00:00
บุรีรัมย์,48.473780193301224,54.472169965569634,2026-01-17 03:00:00
พระนครศรีอยุธยา,35.84854200809185,61.74168734393615,2026-01-17 03:00:00
ลำพูน,26.851088714215674,29.55038550973706,2026-01-17 03:00:00
นครสวรรค์,47.544911713795265,55.51460329217944,2026-01-17 03:00:00
สงขลา,19.470796859485286,17.22219069867753,2026-01-17 03:00:00
กำแพงเพชร,40.74557776639206,45.90998499600071,2026-01-17 03:00:00
กาฬสินธุ์,71.64259782753166,58.34863401479567,2026-01-17 03:00:00
กระบี่,29.346435030097744,18.571648314714288,2026-01-17 03:00:00
กาญจนบุรี,32.04627827556479,48.58102843121452,2026-01-17 03:00:00
ชลบุรี,24.726211936380118,51.42706103631329,2026-01-17 03:00:00
เพชรบุรี,23.42248552052589,44.675861222010816,2026-01-17 03:00:00
เชียงราย,16.025271351933622,21.25430525990802,2026-01-17 03:00:00
ชัยนาท,58.56015199863184,66.01391677157889,2026-01-17 03:00:00
เลย,53.71917176550802,47.690628364483466,2026-01-17 03:00:00
อุดรธานี,70.86400124362905,55.51753570831261,2026-01-17 03:00:00
นครศรีธรรมราช,19.115746883525347,17.632642917440908,2026-01-17 03:00:00
นครปฐม,29.37087738411821,52.31398451368714,2026-01-17 03:00:00
สุรินทร์,58.19213853595509,56.63475473301596,2026-01-17 03:00:00
ศรีสะเกษ,59.22946947768205,50.97424231650936,2026-01-17 03:00:00
ร้อยเอ็ด,73.40738903139906,55.651969628897234,2026-01-17 03:00:00
นครพนม,64.77031170005978,44.89514998480551,2026-01-17 03:00:00
บึงกาฬ,40.366220276592955,38.72388945261895,2026-01-17 03:00:00
มุกดาหาร,62.06242403151185,45.51694317996999,2026-01-17 03:00:00
พิษณุโลก,57.266761048151686,53.9276528901003,2026-01-17 03:00:00
พัทลุง,18.916992188118257,18.17398310766841,2026-01-17 03:00:00
ปทุมธานี,25.251911725699607,54.282844147666,2026-01-17 03:00:00
นราธิวาส,19.39236720186069,17.699997347075072,2026-01-17 03:00:00
พิจิตร,53.2547490028761,53.93808206460946,2026-01-17 03:00:00
ภูเก็ต,16.343117399505225,18.999078661709852,2026-01-17 03:00:00
จันทบุรี,26.034948712834147,44.2281046481665,2026-01-17 03:00:00
อ่างทอง,45.25847192626774,65.64977860545535,2026-01-17 03:00:00
หนองคาย,80.4208062690281,64.43740062199369,2026-01-17 03:00:00
ลพบุรี,49.78608585779697,61.901007308181086,2026-01-17 03:00:00
สุโขทัย,37.618571611943125,44.0428142404975,2026-01-17 03:00:00
สกลนคร,55.115910365295434,46.00848437167545,2026-01-17 03:00:00
กรุงเทพมหานคร,20.383595983237633,51.83938356628064,2026-01-17 03:00:00
ศรีสะเกษ,61.20721450207951,50.76885394710914,2026-01-17 04:00:00
สมุทรสงคราม,21.823068881586206,47.49261459541486,2026-01-17 04:00:00
จันทบุรี,29.10369352383436,43.34627857356148,2026-01-17 04:00:00
นครสวรรค์,46.70063343001456,54.67504593328969,2026-01-17 04:00:00
นครพนม,60.08228206444414,44.63513258617561,2026-01-17 04:00:00
กาญจนบุรี,31.283981503900254,47.58142469368007,2026-01-17 04:00:00
สมุทรปราการ,15.982337277016475,48.45915420666041,2026-01-17 04:00:00
ชลบุรี,22.763704579014206,49.9641440424723,2026-01-17 04:00:00
หนองคาย,75.7015154340941,63.90461633505225,2026-01-17 04:00:00
สุราษฎร์ธานี,21.93477097843921,18.484055050311245,2026-01-17 04:00:00
ตรัง,28.35947547950714,22.017335009010683,2026-01-17 04:00:00
พระนครศรีอยุธยา,34.212903256159024,60.0755195765671,2026-01-17 04:00:00
บึงกาฬ,38.494837885036965,38.608736292880444,2026-01-17 04:00:00
สระแก้ว,35.31665437708488,49.54245693912005,2026-01-17 04:00:00
ร้อยเอ็ด,70.27514484748619,55.611886424992115,2026-01-17 04:00:00
ตราด,30.799598823003393,43.44737638979495,2026-01-17 04:00:00
นนทบุรี,19.783450830735426,48.59345498188981,2026-01-17 04:00:00
มุกดาหาร,63.58130763486504,45.37456467152654,2026-01-17 04:00:00
เลย,53.33200975549497,47.769612976459776,2026-01-17 04:00:00
บุรีรัมย์,53.08379251499599,54.27135093898816,2026-01-17 04:00:00
ราชบุรี,26.675671704601783,47.79743708444648,2026-01-17 04:00:00
ปัตตานี,15.024177251114608,17.52142906858021,2026-01-17 04:00:00
กรุงเทพมหานคร,19.13952754668076,50.496613275474324,2026-01-17 04:00:00
น่าน,39.26057051857125,36.44647948741518,2026-01-17 04:00:00
พิษณุโลก,55.35250864050093,53.443935176222176,2026-01-17 04:00:00
สระบุรี,48.13397079649334,58.954238145887935,2026-01-17 04:00:00
ลำปาง,29.13574056965499,30.422486040055162,2026-01-17 04:00:00
เพชรบุรี,22.566936972626255,43.52432627503322,2026-01-17 04:00:00
กำแพงเพชร,42.768479542462565,45.80204717546323,2026-01-17 04:00:00
พะเยา,29.909552872591846,28.912054554767053,2026-01-17 04:00:00
นครราชสีมา,49.656853991266765,50.97084004605136,2026-01-17 04:00:00
พัทลุง,24.87697773683522,18.14451016737399,2026-01-17 04:00:00
เชียงราย,17.071295146198153,21.08386561416855,2026-01-17 04:00:00
ฉะเชิงเทรา,27.604226432760594,52.41968800246283,2026-01-17 04:00:00
ชุมพร,24.314342824305566,17.952313906748206,2026-01-17 04:00:00
หนองบัวลำภู,54.586712072557866,49.53378970925048,2026-01-17 04:00:00
เพชรบูรณ์,53.774095689746794,52.66134515350985,2026-01-17 04:00:00
พังงา,20.373819542100122,18.021956406022515,2026-01-17 04:00:00
สงขลา,20.362693060440478,17.28729443428548,2026-01-17 04:00:00
นครศรีธรรมราช,21.044447513232026,17.813274713510797,2026-01-17 04:00:00
พิจิตร,52.44517437342053,53.508236046672245,2026-01-17 04:00:00
ชัยนาท,57.426909175874385,65.06964583322493,2026-01-17 04:00:00
สกลนคร,55.11057692627081,45.68737365400161,2026-01-17 04:00:00
เชียงใหม่,15.0294040884596,20.0240268058554,2026-01-17 04:00:00
ขอนแก่น,64.63023601430876,55.2881081613729,2026-01-17 04:00:00
อ่างทอง,42.03322582389957,64.05655710341749,2026-01-17 04:00:00
อำนาจเจริญ,61.39551508764661,45.28547311360561,2026-01-17 04:00:00
มหาสารคาม,72.42153264309931,58.77173399572027,2026-01-17 04:00:00
ปราจีนบุรี,37.2629260794029,51.80472503709344,2026-01-17 04:00:00
ยโสธร,63.12324009960115,48.02859195442266,2026-01-17 04:00:00
อุดรธานี,69.93475658065071,55.48318629300832,2026-01-17 04:00:00
ประจวบคีรีขันธ์,22.99475908351567,41.71957332238434,2026-01-17 04:00:00
ปทุมธานี,22.7072788751446,52.661357711152355,2026-01-17 04:00:00
อุทัยธานี,41.37530405461988,51.70983933214444,2026-01-17 04:00:00
ชัยภูมิ,55.036336041117586,51.606685295998126,2026-01-17 04:00:00
ลำพูน,27.031221201793738,29.64195593218226,2026-01-17 04:00:00
สุพรรณบุรี,32.62447275276315,54.126991378913125,2026-01-17 04:00:00
นครปฐม,27.305627299485547,51.173670479981475,2026-01-17 04:00:00
อุตรดิตถ์,43.21565328596859,47.22822441643487,2026-01-17 04:00:00
สตูล,20.119950498273276,16.4202616826668,2026-01-17 04:00:00
กาฬสินธุ์,71.30545962000174,58.1909458077622,2026-01-17 04:00:00
ระนอง,24.380672240018733,17.890638048330587,2026-01-17 04:00:00
แม่ฮ่องสอน,12.143482322923047,18.269132828204036,2026-01-17 04:00:00
สุโขทัย,37.295151098470285,43.707198757790316,2026-01-17 04:00:00
แพร่,33.949918499414444,37.208556890031595,2026-01-17 04:00:00
อุบลราชธานี,61.33143377684129,50.08729718497049,2026-01-17 04:00:00
สุรินทร์,59.91681137096649,56.24474592038698,2026-01-17 04:00:00
นราธิวาส,17.86285207892828,17.78346692676214,2026-01-17 04:00:00
นครนายก,32.88426713346045,44.6379555091477,2026-01-17 04:00:00
ระยอง,23.90465198470122,44.10871231281249,2026-01-17 04:00:00
ลพบุรี,48.37162932287174,60.85493504636057,2026-01-17 04:00:00
ตาก,34.91436270261468,38.767502967957476,2026-01-17 04:00:00
สิงห์บุรี,61.171581116660384,69.53085328515968,2026-01-17 04:00:00
กระบี่,26.867207469151243,18.894539838784862,2026-01-17 04:00:00
ยะลา,26.111215733544054,20.347941296902274,2026-01-17 04:00:00
ภูเก็ต,17.36354708101439,18.843956564530714,2026-01-17 04:00:00
สมุทรสาคร,19.559799814850987,46.577303293562316,2026-01-17 04:00:00
นราธิวาส,30.353868844737843,18.358983793059164,2026-01-17 05:00:00
มหาสารคาม,73.17234987279609,58.99276088627182,2026-01-17 05:00:00
นครศรีธรรมราช,29.232063744501797,18.15760338720577,2026-01-17 05:00:00
ลำปาง,27.16584671701168,30.272516989684803,2026-01-17 05:00:00
จันทบุรี,29.37202936687782,42.7169236095986,2026-01-17 05:00:00
แม่ฮ่องสอน,10.618761760805768,18.13505881105323,2026-01-17 05:00:00
สตูล,22.64371666010005,16.78814500712414,2026-01-17 05:00:00
บุรีรัมย์,50.43735290049914,53.625167246220705,2026-01-17 05:00:00
สุโขทัย,35.32796015076821,43.24744154159586,2026-01-17 05:00:00
ลำพูน,26.304075543156763,29.666952881680956,2026-01-17 05:00:00
นครสวรรค์,45.46152692623698,53.908241341113985,2026-01-17 05:00:00
สมุทรปราการ,17.9724262974446,47.196951800244655,2026-01-17 05:00:00
สกลนคร,54.07292418936356,45.464215087752585,2026-01-17 05:00:00
กำแพงเพชร,40.8142085477554,45.58910855996222,2026-01-17 05:00:00
สงขลา,28.28573434363087,17.796786956721217,2026-01-17 05:00:00
ปัตตานี,39.181913605368536,18.65464931925207,2026-01-17 05:00:00
ยะลา,39.03138093227421,21.010900598251073,2026-01-17 05:00:00
กาฬสินธุ์,72.28432452119407,58.222394559798964,2026-01-17 05:00:00
ราชบุรี,25.175259914228747,46.71859398166035,2026-01-17 05:00:00
ตาก,33.492682551458785,38.38781195413984,2026-01-17 05:00:00
กระบี่,37.64791861556141,19.676084513135777,2026-01-17 05:00:00
สระแก้ว,35.464458700915706,48.75077309344024,2026-01-17 05:00:00
ชลบุรี,22.01857719599217,48.357753664217476,2026-01-17 05:00:00
กาญจนบุรี,29.646894122482596,46.643893037276776,2026-01-17 05:00:00
สมุทรสงคราม,21.955478102760882,46.39348692111083,2026-01-17 05:00:00
ภูเก็ต,29.257751299561786,19.192159568851206,2026-01-17 05:00:00
เพชรบุรี,21.448975205971927,42.41793437923052,2026-01-17 05:00:00
ตรัง,39.149382029619325,22.643953951900055,2026-01-17 05:00:00
เชียงราย,15.442959187646672,20.850755912660386,2026-01-17 05:00:00
ชัยนาท,55.79703326390134,64.2046787833171,2026-01-17 05:00:00
อุดรธานี,71.80810794559422,55.65694131628467,2026-01-17 05:00:00
อ่างทอง,38.94344440409299,62.54576429249655,2026-01-17 05:00:00
น่าน,31.86257538079863,36.20577896255242,2026-01-17 05:00:00
นครปฐม,25.996158077510444,50.154636072081935,2026-01-17 05:00:00
หนองบัวลำภู,59.41215086218673,49.870202772161214,2026-01-17 05:00:00
ลพบุรี,45.91331107382671,59.940174831653486,2026-01-17 05:00:00
ขอนแก่น,65.90871830767041,55.57810405021849,2026-01-17 05:00:00
สุรินทร์,57.87307091067718,55.74776043364446,2026-01-17 05:00:00
อุบลราชธานี,62.06310290288437,49.98117346171325,2026-01-17 05:00:00
สุราษฎร์ธานี,21.627018772846125,18.320680332629934,2026-01-17 05:00:00
ศรีสะเกษ,59.50464044175781,50.464791577327325,2026-01-17 05:00:00
นครพนม,57.02273566657393,44.735543637308865,2026-01-17 05:00:00
ชัยภูมิ,52.679788275230756,51.486886517872385,2026-01-17 05:00:00
พระนครศรีอยุธยา,31.621761291798855,58.55638435736828,2026-01-17 05:00:00
ตราด,33.07727186430194,43.055219890135476,2026-01-17 05:00:00
หนองคาย,77.27769431718568,63.50701526133787,2026-01-17 05:00:00
ร้อยเอ็ด,71.1594005046743,55.484609522195036,2026-01-17 05:00:00
บึงกาฬ,37.03622934754321,38.52434425454667,2026-01-17 05:00:00
มุกดาหาร,62.75381082924162,45.180971258474436,2026-01-17 05:00:00
นนทบุรี,21.188699955199617,47.49310296421433,2026-01-17 05:00:00
